X99.7,Not known
A38.6,Extirpation of lesion of tentorium cerebelli
A39.1,Repair of meningoencephalocele
A40.8,Other specified drainage of extradural space
A40.9,Unspecified drainage of extradural space
A41.2,Drainage of abscess of subdural space
A43.1,Extirpation of lesion of meninges of skull base
A43.8,Other specified other extirpation of lesion of meninges of brain
A45.2,Open chordotomy of spinal cord NEC
A45.5,Removal of foreign body from spinal cord
A45.9,Unspecified other open operations on spinal cord
A47.3,Percutaneous chordotomy of spinal cord
A48.1,Biopsy of lesion of spinal cord NEC
A48.2,Aspiration of lesion of spinal cord
A48.3,Insertion of neurostimulator adjacent to spinal cord
A48.4,Attention to neurostimulator adjacent to spinal cord NEC
A48.5,Reprogramming of neurostimulator adjacent to spinal cord
A48.6,Removal of neurostimulator adjacent to spinal cord
A48.7,Insertion of neurostimulator electrodes into the spinal cord
A48.8,Other specified other operations on spinal cord
A49.1,Freeing of spinal tether NEC
A51.2,Freeing of adhesions of meninges of spinal cord
A52.1,Therapeutic lumbar epidural injection
A52.2,Therapeutic sacral epidural injection
A52.8,Other specified therapeutic epidural injection
A52.9,Unspecified therapeutic epidural injection
A53.3,Creation of syringoperitoneal shunt
A53.4,Creation of lumboperitoneal shunt
A54.1,Injection of destructive substance into cerebrospinal fluid
A54.2,Injection of therapeutic substance into cerebrospinal fluid
A54.3,Implantation of intrathecal drug delivery device adjacent to spinal cord
A54.4,Attention to intrathecal drug delivery device adjacent to spinal cord
A54.5,Removal of intrathecal drug delivery device adjacent to spinal cord
A54.8,Other specified therapeutic spinal puncture
A54.9,Unspecified therapeutic spinal puncture
A55.2,Spinal myelography NEC
A55.8,Other specified diagnostic spinal puncture
A55.9,Unspecified diagnostic spinal puncture
A57.3,Radiofrequency controlled thermal destruction of spinal nerve root
A57.4,Injection of destructive substance into spinal nerve root
A57.5,Destruction of spinal nerve root NEC
A57.6,Reimplantation of spinal nerves into spinal cord
A57.7,Injection of therapeutic substance around spinal nerve root
A57.8,Other specified operations on spinal nerve root
A59.9,Unspecified excision of peripheral nerve
A60.4,Radiofrequency controlled thermal destruction of peripheral nerve
A60.5,Injection of destructive substance into peripheral nerve
A60.6,Selective denervation of peripheral nerve
A60.8,Other specified destruction of peripheral nerve
A61.1,Excision of lesion of peripheral nerve
A61.2,Cryotherapy to lesion of peripheral nerve
A62.1,Primary microsurgical graft to peripheral nerve
A62.2,Secondary microsurgical graft to peripheral nerve
A62.3,Microsurgical graft to peripheral nerve NEC
A62.4,Primary microsurgical repair of peripheral nerve NEC
A62.7,Microsurgical repair of multiple peripheral nerves NEC
A64.2,Primary repair of peripheral nerve NEC
A65.1,Carpal tunnel release
A67.1,Cubital tunnel release
A68.1,Primary neurolysis of peripheral nerve and transposition of peripheral nerve
A69.2,Revision of carpal tunnel release
A70.1,Implantation of neurostimulator into peripheral nerve
A70.2,Maintenance of neurostimulator in peripheral nerve
A70.3,Removal of neurostimulator from peripheral nerve
A70.4,Insertion of neurostimulator electrodes into peripheral nerve
A70.5,Electroacupuncture
A70.6,Acupuncture NEC
A70.7,Application of transcutaneous electrical nerve stimulator
A70.8,Other specified neurostimulation of peripheral nerve
A70.9,Unspecified neurostimulation of peripheral nerve
A73.1,Biopsy of lesion of peripheral nerve
A73.3,Decompression of peripheral nerve NEC
A73.4,Exploration of peripheral nerve
A73.5,Injection of therapeutic substance around peripheral nerve
A73.6,Transfer and re-implantation of peripheral nerve NEC
A73.8,Other specified other operations on peripheral nerve
A73.9,Unspecified other operations on peripheral nerve
A75.3,Excision of lumbar sympathetic nerve
A76.1,Chemical destruction of cervical sympathetic nerve
A76.3,Chemical destruction of lumbar sympathetic nerve
A76.9,Unspecified chemical destruction of sympathetic nerve
A77.8,Other specified cryotherapy to sympathetic nerve
A77.9,Unspecified cryotherapy to sympathetic nerve
A78.1,Radiofrequency controlled thermal destruction of cervical sympathetic nerve
A78.2,Radiofrequency controlled thermal destruction of thoracic sympathetic nerve
A78.3,Radiofrequency controlled thermal destruction of lumbar sympathetic nerve
A78.4,Radiofrequency controlled thermal destruction of perivascular sympathetic nerve
A78.5,Radiofrequency controlled thermal destruction of splanchnic sympathetic nerve
A78.8,Other specified radiofrequency controlled thermal destruction of sympathetic nerve
A78.9,Unspecified radiofrequency controlled thermal destruction of sympathetic nerve
A79.4,Destruction of perivascular sympathetic nerve NEC
A79.8,Other specified other destruction of sympathetic nerve
A81.1,Stellate ganglion blockade
A81.2,Injection of therapeutic substance around sympathetic nerve
A81.8,Other specified other operations on sympathetic nerve
A83.8,Other specified electroconvulsive therapy
A83.9,Unspecified electroconvulsive therapy
A84.1,Electroencephalography
A84.2,Electromyography
A84.3,Nerve conduction studies
A84.4,Evoked potential recording
A84.5,Electroretinography NEC
A84.6,Pattern electroretinography
A84.7,Sleep studies NEC
A84.8,Other specified neurophysiological operations
A84.9,Unspecified neurophysiological operations
B01.9,Unspecified excision of pituitary gland
B08.1,Total thyroidectomy
B08.3,Hemithyroidectomy
B08.4,Lobectomy of thyroid gland NEC
B08.8,Other specified excision of thyroid gland
B09.1,Excision of substernal thyroid tissue
B09.2,Excision of sublingual thyroid tissue
B10.3,Biopsy of lesion of thyroglossal tract
B10.8,Other specified operations on thyroglossal tissue
B12.1,Excision of lesion of thyroid gland
B12.2,Biopsy of lesion of thyroid gland
B12.3,Incision of lesion of thyroid gland
B12.4,Exploration of thyroid gland
B12.8,Other specified other operations on thyroid gland
B12.9,Unspecified other operations on thyroid gland
B14.3,Partial parathyroidectomy and transposition of parathyroid tissue
B14.4,Partial parathyroidectomy NEC
B14.9,Unspecified excision of parathyroid gland
B16.2,Biopsy of lesion of parathyroid gland
B16.4,Parathyroid washout
B16.8,Other specified other operations on parathyroid gland
B16.9,Unspecified other operations on parathyroid gland
B17.1,Allotransplantation of thymus gland
B17.8,Other specified transplantation of thymus gland
B18.1,Transsternal thymectomy
B18.2,Transcervical thymectomy
B18.8,Other specified excision of thymus gland
B22.3,Unilateral adrenalectomy
B22.8,Other specified excision of adrenal gland
B23.1,Excision of lesion of aberrant adrenal tissue
B23.8,Other specified operations on aberrant adrenal tissue
B23.9,Unspecified operations on aberrant adrenal tissue
B25.3,Embolisation of adrenal gland
B27.1,Total mastectomy and excision of both pectoral muscles and part of chest wall
B27.4,Total mastectomy NEC
B27.5,Subcutaneous mastectomy
B27.6,Skin sparing mastectomy
B28.2,Partial excision of breast NEC
B28.3,Excision of lesion of breast
B28.5,Wire guided partial excision of breast
B28.7,Wire guided excision of lesion of breast
B28.8,Other specified other excision of breast
B28.9,Unspecified other excision of breast
B29.5,Revision of reconstruction of breast
B29.9,Unspecified reconstruction of breast
B30.1,Insertion of prosthesis for breast
B30.2,Revision of prosthesis for breast
B30.3,Removal of prosthesis for breast
B30.4,Renewal of prosthesis for breast
B30.8,Other specified prosthesis for breast
B30.9,Unspecified prosthesis for breast
B31.1,Reduction mammoplasty
B31.2,Augmentation mammoplasty
B31.8,Other specified other plastic operations on breast
B32.1,Percutaneous biopsy of lesion of breast
B32.2,Biopsy of lesion of breast NEC
B32.3,Wire-guided biopsy of lesion of breast
B32.8,Other specified biopsy of breast
B32.9,Unspecified biopsy of breast
B33.1,Drainage of lesion of breast
B33.2,Capsulotomy of breast
B33.8,Other specified incision of breast
B33.9,Unspecified incision of breast
B34.5,Exploration of mammary duct NEC
B35.1,Transposition of nipple
B35.2,Excision of nipple
B35.3,Extirpation of lesion of nipple
B35.5,Biopsy of lesion of nipple
B35.8,Other specified operations on nipple
B35.9,Unspecified operations on nipple
B36.1,Reconstruction of nipple
B36.3,Nipple sharing NEC
B36.4,Tattooing of nipple
B36.8,Other specified reconstruction of nipple and areola
B36.9,Unspecified reconstruction of nipple and areola
B37.1,Aspiration of lesion of breast
B37.2,Injection into breast
B37.3,Extraction of milk from breast
B37.4,Capsulectomy of breast
B37.5,Lipofilling of breast
B37.8,Other specified other operations on breast
B37.9,Unspecified other operations on breast
B38.8,Other specified reconstruction of breast using flap of skin of buttock
B39.8,Other specified reconstruction of breast using abdominal flap
B40.9,Unspecified destruction of lesion of breast
C01.1,Exenteration of orbit
C01.2,Enucleation of eye
C01.3,Evisceration of eye
C01.9,Unspecified excision of eye
C02.2,Destruction of lesion of orbit
C02.8,Other specified extirpation of lesion of orbit
C03.1,Insertion of prosthetic replacement for orbit
C03.2,Insertion of prosthetic replacement for eyeball
C03.8,Other specified insertion of prosthesis of eye
C03.9,Unspecified insertion of prosthesis of eye
C04.1,Revision of prosthetic replacement for orbit
C04.2,Revision of prosthetic replacement for eyeball
C04.3,Removal of prosthetic replacement for orbit
C04.4,Removal of prosthetic replacement for eyeball
C04.8,Other specified attention to prosthesis of eye
C04.9,Unspecified attention to prosthesis of eye
C06.2,Drainage of orbit
C06.4,Removal of foreign body from orbit
C06.5,Exploration of orbit
C06.8,Other specified incision of orbit
C08.1,Transposition of ligament of orbit
C08.2,Open reduction of fracture of orbit
C08.3,Removal of fixation from fracture of orbit
C08.4,Retrobulbar injection into orbit
C08.5,Internal fixation of fracture of orbit
C08.8,Other specified other operations on orbit
C09.1,Replacement of lateral canthal tendon using tarsal strip
C09.9,Unspecified replacement of canthal tendon
C10.1,Excision of lesion of eyebrow
C10.2,Hair bearing flap to eyebrow
C10.4,Suture of eyebrow
C10.5,Incision of lesion of eyebrow
C10.6,Biopsy of lesion of eyebrow
C10.8,Other specified operations on eyebrow
C10.9,Unspecified operations on eyebrow
C11.1,Excision of lesion of canthus
C11.2,Destruction of lesion of canthus
C11.4,Correction of telecanthus
C11.6,Canthotomy
C11.7,Biopsy of lesion of canthus
C11.8,Other specified operations on canthus
C12.1,Excision of lesion of eyelid NEC
C12.2,Cauterisation of lesion of eyelid
C12.3,Cryotherapy to lesion of eyelid
C12.4,Curettage of lesion of eyelid
C12.5,Destruction of lesion of eyelid NEC
C12.6,Wedge excision of lesion of eyelid
C12.8,Other specified extirpation of lesion of eyelid
C12.9,Unspecified extirpation of lesion of eyelid
C13.1,Blepharoplasty of both eyelids
C13.2,Blepharoplasty of upper eyelid
C13.4,Blepharoplasty NEC
C13.8,Other specified excision of redundant skin of eyelid
C13.9,Unspecified excision of redundant skin of eyelid
C14.1,Flap of skin to eyelid
C14.2,Graft of skin to eyelid
C14.4,Graft of skin and fat to eyelid
C14.8,Other specified reconstruction of eyelid
C15.1,Correction of ectropion NEC
C15.2,Correction of entropion NEC
C15.3,Correction of trichiasis
C15.4,Correction of cicatrical ectropion
C15.5,Correction of cicatrical entropion
C15.8,Other specified correction of deformity of eyelid
C15.9,Unspecified correction of deformity of eyelid
C16.1,Central tarsorrhaphy
C16.2,Lateral tarsorrhaphy
C16.3,Medial tarsorrhaphy
C16.4,Tarsorrhaphy NEC
C16.5,Revision of tarsorrhaphy
C16.8,Other specified other plastic repair of eyelid
C17.1,Suture of eyelid
C17.8,Other specified other repair of eyelid
C17.9,Unspecified other repair of eyelid
C18.1,Correction of ptosis of eyelid using levator muscle technique
C18.2,Correction of ptosis of eyelid using frontalis muscle technique
C18.3,Correction of ptosis of eyelid using sling of fascia
C18.5,Tarsomullerectomy
C18.6,Correction of ptosis of eyelid using aponeurosis technique
C18.8,Other specified correction of ptosis of eyelid
C18.9,Unspecified correction of ptosis of eyelid
C19.1,Drainage of lesion of eyelid
C19.8,Other specified incision of eyelid
C19.9,Unspecified incision of eyelid
C20.1,Complete protective suture of eyelid
C20.2,Central protective suture of eyelid
C20.3,Lateral protective suture of eyelid
C20.5,Removal of protective suture from eyelid
C20.8,Other specified protective suture of eyelid
C20.9,Unspecified protective suture of eyelid
C22.1,Avulsion of nerve of eyelid
C22.2,Biopsy of lesion of eyelid
C22.3,Removal of foreign body from eyelid
C22.4,Injection into eyelid
C22.5,Exploration of eyelid
C22.6,Epilation of eyelash
C22.7,Denervation of nerve of eyelid
C22.8,Other specified other operations on eyelid
C22.9,Unspecified other operations on eyelid
C24.1,Excision of lacrimal gland
C24.2,Radiotherapy to lacrimal gland
C24.3,Destruction of lacrimal gland NEC
C24.4,Biopsy of lesion of lacrimal gland
C24.8,Other specified operations on lacrimal gland
C24.9,Unspecified operations on lacrimal gland
C25.3,Dacryocystorhinostomy and insertion of tube HFQ
C25.4,Dacryocystorhinostomy NEC
C25.8,Other specified connection between lacrimal apparatus and nose
C25.9,Unspecified connection between lacrimal apparatus and nose
C26.2,Destruction of lesion of lacrimal sac
C26.3,Biopsy of lesion of lacrimal sac
C26.4,Incision of lacrimal sac
C26.8,Other specified other operations on lacrimal sac
C26.9,Unspecified other operations on lacrimal sac
C27.1,Drainage of nasolacrimal duct
C27.2,Dilation of nasolacrimal duct
C27.3,Irrigation of nasolacrimal duct
C27.4,Removal of tube from nasolacrimal duct
C27.5,Probing of nasolacrimal duct NEC
C27.8,Other specified operations on nasolacrimal duct
C27.9,Unspecified operations on nasolacrimal duct
C29.1,Repair of canaliculus
C29.2,Enlargement of lacrimal punctum
C29.3,Occlusion of lacrimal punctum
C29.4,Marsupialisation of canaliculus
C29.5,Canaliculotomy
C29.8,Other specified other operations on lacrimal apparatus
C29.9,Unspecified other operations on lacrimal apparatus
C31.1,Recession of medial rectus muscle and resection of lateral rectus muscle of eye
C31.2,Bilateral recession of medial recti muscles of eyes
C31.3,Bilateral resection of medial recti muscles of eyes
C31.6,Recession of lateral rectus muscle and resection of medial rectus muscle of eye
C31.8,Other specified combined operations on muscles of eye
C32.1,Recession of medial rectus muscle of eye NEC
C32.5,Recession of superior oblique muscle of eye
C32.6,Recession of inferior oblique muscle of eye
C32.7,Recession of combinations of muscles of eye
C32.8,Other specified recession of muscle of eye
C33.2,Resection of lateral rectus muscle of eye NEC
C33.5,Resection of superior oblique muscle of eye
C33.8,Other specified resection of muscle of eye
C33.9,Unspecified resection of muscle of eye
C34.3,Tenotomy of superior rectus muscle of eye
C34.7,Tenotomy of combinations of muscles of eye
C34.8,Other specified partial division of tendon of muscle of eye
C34.9,Unspecified partial division of tendon of muscle of eye
C35.3,Insertion of adjustable suture into muscle of eye
C35.8,Other specified other adjustment to muscle of eye
C35.9,Unspecified other adjustment to muscle of eye
C37.1,Excision of lesion of muscle of eye
C37.2,Freeing of adhesions of muscle of eye
C37.3,Biopsy of lesion of muscle of eye
C37.4,Repair of muscle of eye NEC
C37.8,Other specified other operations on muscle of eye
C37.9,Unspecified other operations on muscle of eye
C39.1,Excision of lesion of conjunctiva
C39.2,Cauterisation of lesion of conjunctiva
C39.3,Cryotherapy to lesion of conjunctiva
C39.4,Curettage of lesion of conjunctiva
C39.5,Radiotherapy to lesion of conjunctiva
C39.8,Other specified extirpation of lesion of conjunctiva
C39.9,Unspecified extirpation of lesion of conjunctiva
C40.1,Mucosal graft to conjunctiva
C40.5,Suture of conjunctiva
C40.8,Other specified repair of conjunctiva
C40.9,Unspecified repair of conjunctiva
C41.1,Peritomy
C41.8,Other specified incision of conjunctiva
C41.9,Unspecified incision of conjunctiva
C43.2,Biopsy of lesion of conjunctiva
C43.3,Removal of foreign body from conjunctiva
C43.4,Subconjunctival injection
C43.5,Exploration of conjunctiva
C43.6,Creation of hood of conjunctiva
C43.8,Other specified other operations on conjunctiva
C43.9,Unspecified other operations on conjunctiva
C44.2,Laser in situ keratomileusis
C44.3,Endothelial graft to cornea
C44.5,Laser subepithelial keratomileusis
C44.8,Other specified other plastic operations on cornea
C44.9,Unspecified other plastic operations on cornea
C45.1,Superficial keratectomy
C45.2,Excision of lesion of cornea NEC
C45.3,Cauterisation of lesion of cornea
C45.6,Destruction of lesion of cornea NEC
C45.7,Debridement of lesion of cornea
C45.8,Other specified extirpation of lesion of cornea
C45.9,Unspecified extirpation of lesion of cornea
C46.8,Other specified plastic operations on cornea
C47.1,Suture of cornea
C47.2,Adjustment to suture of cornea
C47.3,Removal of suture from cornea
C47.4,Gluing of cornea
C47.8,Other specified closure of cornea
C47.9,Unspecified closure of cornea
C48.1,Surgical removal of foreign body from cornea
C48.2,Magnetic extraction of foreign body from cornea
C48.8,Other specified removal of foreign body from cornea
C48.9,Unspecified removal of foreign body from cornea
C49.1,Section of cornea
C49.8,Other specified incision of cornea
C49.9,Unspecified incision of cornea
C51.1,Biopsy of lesion of cornea
C51.2,Chelation of cornea
C51.3,Exploration of cornea
C51.5,Placement of therapeutic contact lens on to cornea
C51.8,Other specified other operations on cornea
C51.9,Unspecified other operations on cornea
C52.1,Deep sclerectomy with spacer
C52.9,Unspecified excision of sclera
C53.3,Cauterisation of lesion of sclera
C53.4,Destruction of lesion of sclera NEC
C53.9,Unspecified extirpation of lesion of sclera
C54.2,Imbrication of sclera
C54.3,Buckling of sclera and implant HFQ
C54.6,Removal of implant or explant from sclera
C54.7,Maintenance of implant or explant in sclera
C54.8,Other specified buckling operations for attachment of retina
C55.2,Corneoscleral trephine
C55.3,Drainage of subretinal fluid through sclera
C55.4,Expansion of sclera
C55.8,Other specified incision of sclera
C57.1,Biopsy of lesion of sclera
C57.3,Graft to sclera
C57.4,Suture of sclera
C57.8,Other specified other operations on sclera
C57.9,Unspecified other operations on sclera
C59.2,Surgical iridectomy
C59.8,Other specified excision of iris
C60.1,Trabeculectomy
C60.3,Fixation of iris
C60.4,Iridoplasty NEC
C60.5,Insertion of tube into anterior chamber of eye to assist drainage of aqueous humour
C60.8,Other specified filtering operations on iris
C60.9,Unspecified filtering operations on iris
C61.1,Laser trabeculoplasty
C61.2,Trabeculotomy
C61.3,Goniotomy
C61.4,Goniopuncture
C61.8,Other specified other operations on trabecular meshwork of eye
C61.9,Unspecified other operations on trabecular meshwork of eye
C62.1,Iridosclerotomy
C62.2,Surgical iridotomy
C62.3,Laser iridotomy
C62.4,Correction iridodialysis NEC
C62.8,Other specified incision of iris
C62.9,Unspecified incision of iris
C64.1,Excision of prolapsed iris
C64.4,Biopsy of lesion of iris
C64.5,Removal of foreign body from iris
C64.6,Stretching of iris
C64.8,Other specified other operations on iris
C64.9,Unspecified other operations on iris
C65.1,Needling of bleb
C65.2,Injection of bleb
C65.3,Revision of bleb NEC
C65.4,Removal of releasable suture following glaucoma surgery
C65.5,Laser suture lysis following glaucoma surgery
C65.8,Other specified operations following glaucoma surgery
C66.1,Excision of ciliary body
C66.3,Cryotherapy to ciliary body
C66.4,Laser photocoagulation of ciliary body
C66.5,Destruction of ciliary body NEC
C67.1,Separation of ciliary body
C67.8,Other specified other operations on ciliary body
C67.9,Unspecified other operations on ciliary body
C69.1,Reformation of anterior chamber of eye
C69.2,Paracentesis of anterior chamber of eye
C69.3,Injection into anterior chamber of eye
C69.4,Irrigation of anterior chamber of eye
C69.8,Other specified other operations on anterior chamber of eye
C71.1,Simple linear extraction of lens
C71.2,Phacoemulsification of lens
C72.2,Suction extraction of lens
C72.3,Cryoextraction of lens
C73.1,Membranectomy of lens
C73.2,Capsulotomy of anterior lens capsule
C73.3,Capsulotomy of posterior lens capsule
C73.4,Capsulotomy of lens NEC
C73.8,Other specified incision of capsule of lens
C73.9,Unspecified incision of capsule of lens
C74.1,Curettage of lens
C74.3,Mechanical lensectomy
C74.9,Unspecified other extraction of lens
C75.1,Insertion of prosthetic replacement for lens NEC
C75.3,Removal of prosthetic replacement for lens
C75.4,Insertion of prosthetic replacement for lens using suture fixation
C75.8,Other specified prosthesis of lens
C77.1,Capsulectomy
C77.3,Biopsy of lesion of lens
C77.8,Other specified other operations on lens
C79.1,Vitrectomy using anterior approach
C79.2,Vitrectomy using pars plana approach
C79.3,Injection of vitreous substitute into vitreous body NEC
C79.4,Injection into vitreous body NEC
C79.5,Internal tamponade of retina using gas
C79.7,Removal of internal tamponade agent from vitreous body
C79.8,Other specified operations on vitreous body
C80.1,Peel of epiretinal fibroglial membrane
C80.4,Segmentation of epiretinal fibrovascular membrane
C80.5,Removal of subretinal vascular membrane
C80.8,Other specified operations on retinal membrane
C80.9,Unspecified operations on retinal membrane
C81.1,Xenon photocoagulation of retina for detachment
C81.2,Laser photocoagulation of retina for detachment
C81.8,Other specified photocoagulation of retina for detachment
C81.9,Unspecified photocoagulation of retina for detachment
C82.1,Cauterisation of lesion of retina
C82.2,Cryotherapy to lesion of retina
C82.3,External beam radiotherapy to lesion of retina
C82.4,Plaque radiotherapy to lesion of retina
C82.5,Panretinal laser photocoagulation to lesion of retina
C82.6,Laser photocoagulation to lesion of retina NEC
C82.8,Other specified destruction of lesion of retina
C82.9,Unspecified destruction of lesion of retina
C83.3,Limited macular translocation
C83.8,Other specified translocation of retina
C83.9,Unspecified translocation of retina
C84.1,Epiretinal dissection
C84.3,Biopsy of lesion of retina
C84.4,Retinal vascular sheathotomy
C84.5,Drainage of subretinal fluid through retina
C84.6,Retinotomy NEC
C84.8,Other specified other operations on retina
C84.9,Unspecified other operations on retina
C85.1,Retinopexy using cryotherapy
C85.2,Retinopexy using diathermy
C85.3,Retinopexy using mechanical tacks
C85.4,Retinopexy using tissue adhesive
C85.5,Retinopexy NEC
C85.8,Other specified fixation of retina
C86.1,Biopsy of lesion of eye NEC
C86.2,Repair of globe
C86.3,Suture of eye NEC
C86.4,Removal of foreign body from eye NEC
C86.5,Fluorescein angiography of eye
C86.6,Examination of eye under anaesthetic
C86.7,Injection of therapeutic substance around the eye
C86.8,Other specified other operations on eye
C86.9,Unspecified other operations on eye
C87.1,Digital imaging of retina
C87.2,Indocyanine angiography evaluation of retina
C87.3,Tomography evaluation of retina
C87.4,Ultrasonic evaluation of retina
C87.5,Scanning laser ophthalmoscopy evaluation of retina
C87.8,Other specified evaluation of retina
C87.9,Unspecified evaluation of retina
C88.1,Transpupillary thermotherapy to subretinal lesion
C88.2,Photodynamic therapy to subretinal lesion
C89.1,Insertion of sustained release device into posterior segment of eye
C89.2,Injection of steroid into posterior segment of eye
C89.3,Injection of therapeutic substance into posterior segment of eye NEC
C89.8,Other specified operations on posterior segment of eye
C90.1,Topical anaesthetic
C90.2,Subconjunctival anaesthetic
C90.3,Subtenons anaesthetic
C90.4,Peribulbar anaesthetic
C90.5,Retrobulbar anaesthetic
C90.8,Other specified local anaesthetics for ophthalmology procedures
C90.9,Unspecified local anaesthetics for ophthalmology procedures
D01.2,Partial excision of external ear
D01.3,Excision of preauricular abnormality
D01.8,Other specified excision of external ear
D01.9,Unspecified excision of external ear
D02.1,Excision of lesion of external ear
D02.2,Destruction of lesion of external ear
D02.8,Other specified extirpation of lesion of external ear
D02.9,Unspecified extirpation of lesion of external ear
D03.1,Reconstruction of external ear using graft
D03.2,Reconstruction of external ear NEC
D03.3,Pinnaplasty
D03.4,Meatoplasty of external ear
D03.8,Other specified plastic operations on external ear
D04.1,Drainage of haematoma of external ear
D04.2,Drainage of abscess of external ear
D04.8,Other specified drainage of external ear
D04.9,Unspecified drainage of external ear
D05.1,First stage insertion of fixtures for auricular prosthesis
D05.2,Second stage insertion of fixtures for auricular prosthesis
D05.3,Reduction of soft tissue for auricular prosthesis
D05.4,Attention to fixtures for auricular prosthesis
D05.5,Placement of hearing implant in external ear
D05.6,Attention to hearing implant in external ear
D05.7,Removal of hearing implant from external ear
D05.8,Other specified attachment of auricular prosthesis
D05.9,Unspecified attachment of auricular prosthesis
D06.1,Biopsy of lesion of external ear
D06.2,Repair of lobe of external ear
D06.3,Repair of external ear NEC
D06.8,Other specified other operations on external ear
D06.9,Unspecified other operations on external ear
D07.1,Irrigation of external auditory canal for removal of wax
D07.2,Removal of wax from external auditory canal NEC
D07.3,Removal of foreign body from external auditory canal
D07.8,Other specified clearance of external auditory canal
D07.9,Unspecified clearance of external auditory canal
D08.1,Extirpation of lesion of external auditory canal
D08.2,Reconstruction of external auditory canal
D08.3,Drainage of external auditory canal
D08.4,Incision of external auditory canal
D08.5,Irrigation of external auditory canal NEC
D08.6,Blind sac closure of external auditory canal
D08.8,Other specified other operations on external auditory canal
D08.9,Unspecified other operations on external auditory canal
D10.1,Radical mastoidectomy NEC
D10.2,Modified radical mastoidectomy
D10.4,Simple mastoidectomy
D10.5,Excision of lesion of mastoid
D10.8,Other specified exenteration of mastoid air cells
D10.9,Unspecified exenteration of mastoid air cells
D12.1,Obliteration of mastoid
D12.2,Atticotomy
D12.3,Biopsy of mastoid
D12.5,Removal of pack from mastoid
D12.8,Other specified other operations on mastoid
D12.9,Unspecified other operations on mastoid
D13.1,First stage insertion of fixtures for bone anchored hearing prosthesis
D13.2,Second stage insertion of fixtures for bone anchored hearing prosthesis
D13.4,Attention to fixtures for bone anchored hearing prosthesis
D13.5,One stage insertion of fixtures for bone anchored hearing prosthesis
D13.6,Fitting of external hearing prosthesis to bone anchored fixtures
D13.8,Other specified attachment of bone anchored hearing prosthesis
D13.9,Unspecified attachment of bone anchored hearing prosthesis
D14.1,Tympanoplasty using graft
D14.2,Tympanoplasty NEC
D14.4,Combined approach tympanoplasty
D14.8,Other specified repair of eardrum
D15.1,Myringotomy with insertion of ventilation tube through tympanic membrane
D15.2,Suction clearance of middle ear
D15.3,Incision of ear drum NEC
D15.8,Other specified drainage of middle ear
D15.9,Unspecified drainage of middle ear
D16.2,Graft replacement of ossicular chain
D17.1,Stapedectomy
D17.2,Revision of stapedectomy
D17.3,Division of adhesions of ossicle of ear
D17.8,Other specified other operations on ossicle of ear
D17.9,Unspecified other operations on ossicle of ear
D19.1,Excision of lesion of middle ear
D19.2,Destruction of lesion of middle ear
D19.9,Unspecified extirpation of lesion of middle ear
